MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS,__PITCH,__YAW,__ROLL,__SRFPROGRADE_X,__SRFPROGRADE_Y,__SRFPROGRADE_Z,__PROGRADE_X,__PROGRADE_Y,__PROGRADE_Z,__NORMAL_X,__NORMAL_Y,__NORMAL_Z,THROTTLE
218.07,49.7400014996529,49.7400014996529,157343.455671466,5204.34056114043,5166.03360448681,13.9621841747532,2.5051875029728,0,3.56247997283936,138.29304374003,200878.379656021,-4137958.14764857,3.26227116584778,277.646087646484,314.594635009766,-0.987691938877106,-0.0989848971366882,0.12110710144043,-0.989450812339783,-0.091679722070694,0.112169414758682,-0.0922619998455048,0.995735108852386,-2.72644683718681E-07,1
218.23,49.7400014996529,49.7400014996529,157444.277084126,5206.39175560305,5168.15306984116,13.9722448182065,2.5059358928999,0,3.5599148273468,138.312627989886,200955.402207808,-4135594.84365522,3.26232576370239,277.628234863281,314.593841552734,-0.987701892852783,-0.099046915769577,0.120975732803345,-0.989458799362183,-0.091739684343338,0.11205068230629,-0.092321053147316,0.995729386806488,-1.06403604149818E-07,1
218.39,49.7400014996529,49.7400014996529,157545.028798437,5208.44302119932,5170.2725271078,13.9823134109839,2.50665427385036,0,3.5573513507843,138.332257729188,201032.354025147,-4133229.35573462,3.26236152648926,277.610046386719,314.593658447266,-0.987711548805237,-0.0991088449954987,0.120844602584839,-0.989466607570648,-0.0917995572090149,0.111932218074799,-0.0923800319433212,0.995723962783813,-1.06636434793472E-07,1
218.55,49.7400014996529,49.7400014996529,157645.710779971,5210.49327400222,5172.39090250751,13.9923824483852,2.5073555726385,0,3.55479145050049,138.351844661451,201109.197037395,-4130862.83141149,3.26239252090454,277.591552734375,314.594207763672,-0.987721383571625,-0.0991709232330322,0.120713591575623,-0.989474415779114,-0.0918594896793365,0.111813902854919,-0.0924392715096474,0.995718479156494,-1.79046764969826E-07,1
218.71,49.7400014996529,49.7400014996529,157746.323004265,5212.54365088689,5174.50932428139,14.0024594194862,2.50806213317478,0,3.55223321914673,138.371478146163,201185.968996159,-4128494.06195106,3.26239418983459,277.572723388672,314.593536376953,-0.987731099128723,-0.0992330014705658,0.120582520961761,-0.989482164382935,-0.0919194221496582,0.111695528030396,-0.0924983620643616,0.99571293592453,-7.1479007601738E-08,1
218.87,49.7400014996529,49.7400014996529,157846.865492849,5214.59670098323,5176.63032248233,14.0125537389378,2.50875879402016,0,3.54967427253723,138.391358673195,201262.754343274,-4126120.32961789,3.26239252090454,277.553649902344,314.5927734375,-0.987740874290466,-0.0992949903011322,0.120451420545578,-0.989490032196045,-0.0919793248176575,0.111577063798904,-0.0925573408603668,0.995707511901855,-1.51456333696842E-07,1
219.03,49.7400014996529,49.7400014996529,157947.338314359,5216.65461451621,5178.75606830852,14.0226777033007,2.50942474866913,0,3.54711151123047,138.411664144225,201339.628799466,-4123739.29234557,3.2624146938324,277.534301757813,314.593109130859,-0.98775053024292,-0.0993568599224091,0.120320618152618,-0.989497780799866,-0.092039167881012,0.11145880818367,-0.0926162526011467,0.995701909065247,-3.09664756059647E-08,1
219.19,49.7400014996529,49.7400014996529,158047.741560791,5218.71823697339,5180.88740176333,14.0328332973586,2.5100953036138,0,3.54454445838928,138.432461227102,201416.619787532,-4121350.02997338,3.26242327690125,277.514678955078,314.593078613281,-0.987760305404663,-0.0994189083576202,0.120189756155014,-0.989505648612976,-0.0920990109443665,0.111340582370758,-0.0926754623651505,0.995696544647217,-2.5634653866291E-07,1
219.35,49.7400014996529,49.7400014996529,158148.075338667,5220.78843803347,5183.02518719517,14.0430244078732,2.51075399957393,0,3.54197216033936,138.453818216851,201493.755212699,-4118951.59255005,3.2624454498291,277.494781494141,314.592102050781,-0.987769961357117,-0.0994808077812195,0.120059043169022,-0.989513278007507,-0.0921588838100433,0.111222505569458,-0.0927342474460602,0.995691061019897,-1.62050127983093E-07,1
219.51,49.7400014996529,49.7400014996529,158248.339758676,5222.86497370725,5185.16918456722,14.0532521042356,2.51140244728468,0,3.53939437866211,138.475714139995,201571.025048187,-4116544.21607193,3.26248645782471,277.474670410156,314.591857910156,-0.98777973651886,-0.0995426177978516,0.11992821097374,-0.989520907402039,-0.0922186672687531,0.111104428768158,-0.092793270945549,0.995685458183289,1.22119672596455E-07,1
