MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,PITCH,YAW,ROLL,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
72.96,995.55322265625,995.55322265625,24862.9558071103,1162.15174567413,884.964477545565,38.8895302469467,2.64290118217468,306.597442626953,178.514434814453,3.85368017290698,0.271660055756523,25.5995178222656,79.9323890853843,54914.9246582538,-6283920.84106457
73.06,995.607727050781,995.607727050781,24938.3452583561,1165.31814111385,888.068531966832,38.9428770859277,2.64545226097107,306.523834228516,178.33821105957,3.87468548830172,0.26977321741876,25.5658493041992,80.0779300706992,55094.3808500152,-6283494.20348663
73.16,995.66162109375,995.66162109375,25013.8589244736,1168.49152593835,891.178827775474,38.9963494529782,2.64789605140686,306.452117919922,178.423980712891,3.89392695558933,0.267897658067535,25.5321750640869,80.2237833820249,55274.3345732586,-6283065.61121533
73.26,995.714904785156,995.714904785156,25089.4963400252,1171.66906266303,894.293918822362,39.049906987053,2.65024948120117,306.379486083984,178.397842407227,3.91419807948637,0.266032103449199,25.4985218048096,80.3696563394807,55454.5689828238,-6282635.25610537
73.36,995.767639160156,995.767639160156,25165.2573157828,1174.84838204214,897.413286200323,39.1035230012914,2.65244460105896,306.306549072266,178.334442138672,3.93479417539861,0.264175470386339,25.4649085998535,80.5152185022155,55634.8359501837,-6282203.20328631
73.46,995.81982421875,995.81982421875,25241.1417075889,1178.02847276688,900.538099853999,39.1571857270957,2.65470218658447,306.235107421875,178.539596557617,3.95373171957422,0.262326526635584,25.4313430786133,80.6601549170318,55814.8950867066,-6281769.28659393
73.56,995.871459960938,995.871459960938,25317.1495268187,1181.20972365262,903.664380367431,39.2109009368063,2.65666007995605,306.168060302734,178.556243896484,3.96849117040421,0.260484780476333,25.3978214263916,80.8050223717889,55995.1681056218,-6281334.0511469
73.66,995.922546386719,995.922546386719,25393.2798289917,1184.3934468718,906.792921093716,39.2646774176811,2.65855431556702,306.100036621094,178.477340698242,3.9843940029745,0.258650505423047,25.3643379211426,80.9499421071276,56175.7449449422,-6280897.38404997
73.76,995.973083496094,995.973083496094,25469.5322874663,1187.58012409176,909.926668924836,39.3185299726415,2.66056704521179,306.030426025391,178.590423583984,4.00190369485931,0.256824083644086,25.330883026123,81.0946279039071,56356.4050237993,-6280458.87234704
73.86,996.023071289063,996.023071289063,25545.9067971837,1190.77173223452,913.066706314173,39.3724854378419,2.66263461112976,305.959625244141,178.454727172852,4.02062666737395,0.255005816041844,25.2974395751953,81.2392748490053,56537.2932346892,-6280018.35908612
73.96,996.072509765625,996.072509765625,25622.4033369459,1193.97064705743,916.214456799539,39.4265739143985,2.66473841667175,305.887725830078,178.547744750977,4.04049536621339,0.253196469493334,25.263988494873,81.3841029255127,56718.573922758,-6279575.63774822
74.06,996.121520996094,996.121520996094,25699.021911934,1197.17868123159,919.371975321655,39.4808217110041,2.66687417030334,305.814270019531,178.471572875977,4.06195989512314,0.2513968796299,25.2305164337158,81.5291588523559,56900.2801285237,-6279130.41135574
74.16,996.169921875,996.169921875,25775.763425489,1200.39661777781,922.543071965975,39.5352402874352,2.66884160041809,305.745178222656,178.268524169922,4.07884015188345,0.249607669538333,25.1970119476318,81.674094790769,57082.1422469243,-6278682.13275584
74.26,996.2177734375,996.2177734375,25852.6278279675,1203.6243329983,925.721434387255,39.589823959246,2.67091274261475,305.678680419922,178.364486694336,4.09335258631655,0.247829137183819,25.163480758667,81.8196826325418,57264.756285808,-6278231.67697037
74.36,996.26513671875,996.26513671875,25929.6147426683,1206.86048113169,928.907481697369,39.6445579360749,2.67317986488342,305.610717773438,178.316162109375,4.10947058691943,0.246061128217881,25.1299343109131,81.9656442019254,57447.9116698345,-6277778.97670768
74.46,996.312072753906,996.312072753906,26006.7240448138,1210.10271005343,932.100219991964,39.6994151805892,2.67556667327881,305.540130615234,178.320281982422,4.1282968764783,0.244302864177013,25.0963916778564,82.1117084277635,57631.4035764206,-6277324.16359156
74.56,996.358459472656,996.358459472656,26083.9561536117,1213.34852134081,935.301731855814,39.7543610379871,2.67795538902283,305.471405029297,178.555587768555,4.14501489098477,0.242553516602655,25.0628719329834,82.257188295647,57814.7028083336,-6276866.93423287
74.66,996.404357910156,996.404357910156,26161.3113568025,1216.59662494594,938.505886660924,39.8093799501883,2.68003559112549,305.408569335938,178.666290283203,4.15602416817219,0.240812136052879,25.0293865203857,82.4026406637433,57998.2418960715,-6276408.15168274
74.76,996.449768066406,996.449768066406,26238.7885996625,1219.84678667386,941.711205019775,39.8644567745287,2.68196368217468,305.345275878906,178.533279418945,4.16773708032435,0.239078295062789,24.9959449768066,82.5482145605001,58182.1370268809,-6275948.0232015
74.86,996.494689941406,996.494689941406,26316.3872343795,1223.0979488237,944.918654169828,39.9195884031904,2.68400621414185,305.278656005859,178.650054931641,4.18287824917695,0.237351893492479,24.9625492095947,82.6936082833038,58366.1548389271,-6275486.40853586
74.96,996.539123535156,996.539123535156,26394.1069852095,1226.35025569552,948.129676517464,39.9747778112129,2.68615007400513,305.209075927734,178.526382446289,4.20101050490548,0.235632624464196,24.9291973114014,82.8386619615878,58550.1688701948,-6275023.09784032
75.06,996.583068847656,996.583068847656,26471.9478648454,1229.60552202181,951.34491423227,40.0300464068141,2.68836069107056,305.138824462891,178.539169311523,4.21987278947122,0.233920687239833,24.8958759307861,82.9836014503248,58734.3504886404,-6274557.99400153
