MET,THRUST,THRUSTAT,MAXTHRUST,MAXTHRUSTAT,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
5.42,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719048649073,2.16799946977235E-05,2.16779871086561E-05,14.3611723969024,90.0538078188264,2.02412135756527E-15,1792.88950748014,92.6355100497603,-6362518.44448312
5.46,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719048136845,1.51746784298706E-05,1.16407851824775E-05,14.3611733166914,49.4305202116562,2.21758250912893E-15,9.93955268313584E-07,92.6355100190267,-6362518.4441654
5.52,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719044169411,1.48840769470014E-05,1.40964313453055E-05,14.3611751562697,108.199921187845,1.96208464744911E-15,1792.88950722917,92.6355099370703,-6362518.44399263
5.56,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719048891217,1.63306322548653E-05,1.57449418159946E-05,14.3611760760591,73.8934798541983,2.05348207782504E-15,4.42555233348685E-07,92.6355101857334,-6362518.44432589
5.62,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719047326595,6.00662265404127E-06,5.99684760974692E-06,14.3611779156381,85.9997462167645,2.44874772352563E-15,3.49707534041954E-08,92.6355100627989,-6362518.44417898
5.66,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719043275341,2.68808929776235E-05,2.31235449791148E-05,14.3611797552177,119.958209772955,2.05771667447365E-15,1792.88950614949,92.635509736836,-6362518.44439081
5.72,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719044132158,3.47479822987262E-05,2.6919117347456E-05,14.3611806750076,128.504632080496,2.08216046450622E-15,1792.88950507111,92.635509878397,-6362518.44494715
5.76,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719046264887,2.95132595352817E-05,2.78970294683434E-05,14.3611825145878,108.315804371517,2.04708126738955E-15,1792.88950635568,92.6355099445209,-6362518.44488878
5.82,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719049897045,2.38362676291207E-05,1.15031556072241E-05,14.3611834343781,28.149840993357,2.01582304331026E-15,2.1316342326827E-06,92.6355104520917,-6362518.44423078
5.86,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719043210149,4.03037971007936E-05,2.6863471568259E-05,14.3611843541685,137.471461454758,2.11840501501008E-15,1792.88950427023,92.6355097936466,-6362518.44489141
